Vds,Vg=0,Vg=0.5,Vg=1,Vg=1.5,Vg=2,Vg=2.5,Vg=3,Vg=3.5,Vg=4,Vg=4.5,Vg=5,Vg=5.5,Vg=6,Vg=6.5,Vg=7,Vg=7.5,Vg=8
0.0,-4.60493e-05,-0.000114226,-0.000374675,-0.00149439,-0.0038658100000000003,-0.00869973,-0.015510099999999999,-0.0244276,-0.034310600000000004,-0.0476665,-0.0624194,-0.0784136,-0.0949794,-0.1148,-0.13266999999999998,-0.152173,-0.17189700000000002
0.1,0.000669669,0.0023928400000000002,0.0258045,0.050577500000000004,0.0698469,0.0826895,0.09092259999999999,0.0944264,0.09514399999999999,0.0901039,0.08257310000000001,0.0712812,0.0596033,0.0428554,0.032064199999999994,0.0158073,-0.00295995
0.2,0.00106348,0.00227137,0.0453844,0.09678210000000001,0.138662,0.170819,0.194521,0.21062899999999998,0.223151,0.227601,0.2278,0.220852,0.214872,0.199691,0.193791,0.178844,0.164149
0.30000000000000004,0.00141092,0.0028574,0.0587812,0.137343,0.202975,0.255103,0.29472899999999996,0.324922,0.34952300000000003,0.36329100000000003,0.372199,0.370286,0.37329,0.358119,0.354652,0.344186,0.335835
0.4,0.00184286,0.00376997,0.06689529999999999,0.172236,0.262567,0.335484,0.392451,0.436938,0.474051,0.49925200000000003,0.515501,0.5176189999999999,0.529546,0.515402,0.5168389999999999,0.5163719999999999,0.503711
0.5,0.002502,0.0042629600000000005,0.0711187,0.201444,0.31718,0.411994,0.487218,0.546556,0.5965,0.6339170000000001,0.6582600000000001,0.667534,0.687556,0.685662,0.685311,0.679314,0.673593
0.6000000000000001,0.0035486600000000004,0.00480258,0.073341,0.224803,0.36673,0.484512,0.578932,0.654084,0.717444,0.7674150000000001,0.800686,0.8150679999999999,0.846921,0.845141,0.853977,0.854955,0.845258
0.7000000000000001,0.00512179,0.00537875,0.0748824,0.242587,0.411042,0.5523750000000001,0.667168,0.758873,0.835893,0.8981800000000001,0.943419,0.965564,0.9989079999999999,1.00834,1.0125799999999998,1.0340099999999999,1.02169
0.8,0.007197090000000001,0.00600367,0.0762804,0.255139,0.449986,0.616019,0.7512559999999999,0.861383,0.952862,1.0298200000000002,1.08566,1.1204100000000001,1.15983,1.17246,1.18307,1.2018300000000002,1.19975
0.9,0.00965766,0.00673156,0.0776236,0.26333900000000005,0.48347199999999996,0.674705,0.831904,0.960176,1.0689199999999999,1.15841,1.22515,1.27156,1.3187,1.3408,1.34457,1.37226,1.37572
1.0,0.012453899999999999,0.00778192,0.0789707,0.268408,0.511378,0.728023,0.908449,1.05765,1.18057,1.28431,1.3638700000000001,1.42088,1.47461,1.50554,1.50767,1.54612,1.55084
1.1,0.015504500000000001,0.00945226,0.0802963,0.271679,0.5338609999999999,0.7762560000000001,0.980608,1.15039,1.28911,1.4081899999999998,1.49969,1.56869,1.6319,1.6683,1.67172,1.7149100000000002,1.7276399999999998
1.2000000000000002,0.0187659,0.0119914,0.0816336,0.274225,0.550972,0.819597,1.05016,1.23927,1.39618,1.52959,1.63485,1.71309,1.7885,1.83209,1.84309,1.88462,1.90427
1.3,0.022260600000000002,0.0155751,0.0829935,0.27653999999999995,0.563403,0.857736,1.1128399999999998,1.32439,1.49951,1.64897,1.7674100000000001,1.858,1.94454,1.9956,2.00877,2.05017,2.07714
1.4000000000000001,0.0260197,0.0203089,0.0846006,0.2787,0.571822,0.890237,1.17132,1.40535,1.60016,1.76548,1.89835,2.00239,2.10434,2.1545,2.18032,2.22403,2.25618
1.5,0.030178,0.0263256,0.08733250000000001,0.280787,0.5775039999999999,0.9175169999999999,1.22506,1.48201,1.69857,1.87934,2.02661,2.14685,2.2582600000000004,2.31644,2.3435,2.38818,2.44913
1.6,0.0350634,0.0337461,0.0922292,0.28281900000000004,0.581638,0.939542,1.2730199999999998,1.55436,1.79227,1.99052,2.15341,2.28684,2.40942,2.48411,2.5166199999999996,2.57675,2.6284099999999997
1.7000000000000002,0.0412125,0.042832,0.100174,0.284819,0.585067,0.956503,1.31551,1.6219,1.8809799999999999,2.09904,2.27729,2.42749,2.56237,2.6452,2.69835,2.75042,2.7994399999999997
1.8,0.0491318,0.053803,0.111038,0.286827,0.5881379999999999,0.969023,1.3528900000000001,1.6846599999999998,1.9669499999999998,2.20432,2.3995,2.56487,2.70699,2.8052900000000003,2.85578,2.92385,2.98051
