Vds,Vg=1,Vg=1.5,Vg=2,Vg=2.5,Vg=3,Vg=3.5,Vg=4,Vg=4.5,Vg=5,Vg=5.5,Vg=6,Vg=6.5,Vg=7,Vg=7.5,Vg=8
2.7,0.102219,0.203425,0.341145,0.507767,0.6832210000000001,0.839977,0.984502,1.1134000000000002,1.2390700000000001,1.3526799999999999,1.4582300000000001,1.5513000000000001,1.6462899999999998,1.7371400000000001,1.81649
2.8000000000000003,0.104147,0.205403,0.34325700000000003,0.510458,0.692889,0.857968,1.011,1.14442,1.2754299999999998,1.39415,1.50448,1.60181,1.70096,1.7960299999999998,1.87903
2.9000000000000004,0.10606900000000001,0.207446,0.345344,0.513108,0.700936,0.874545,1.03451,1.1742199999999998,1.31097,1.43502,1.5500500000000001,1.65192,1.7552699999999999,1.85462,1.9412500000000001
3.0,0.10897599999999999,0.209437,0.347545,0.515611,0.707047,0.889592,1.05722,1.2027299999999999,1.3454599999999999,1.4747199999999998,1.59481,1.70103,1.80879,1.91233,2.00278
3.1,0.110644,0.211456,0.349609,0.518075,0.7120479999999999,0.9035529999999999,1.07855,1.23085,1.37911,1.51369,1.63886,1.74966,1.86185,1.9697500000000001,2.06388
3.2,0.11159,0.213334,0.351791,0.5204059999999999,0.7157030000000001,0.915524,1.0983500000000002,1.2574699999999999,1.41178,1.5519500000000002,1.6820400000000002,1.79744,1.91398,2.02631,2.1243
3.3000000000000003,0.11518199999999999,0.21527100000000002,0.353836,0.522733,0.718804,0.925754,1.11691,1.28298,1.4433099999999999,1.5892300000000001,1.72448,1.8445200000000002,1.9655900000000002,2.08247,2.1842699999999997
3.4000000000000004,0.116351,0.217283,0.355899,0.525037,0.7216170000000001,0.93445,1.13389,1.3072599999999999,1.4738,1.62559,1.76605,1.8907100000000001,2.01652,2.1378500000000003,2.24347
3.5,0.119208,0.21934499999999998,0.358018,0.527312,0.724295,0.9413130000000001,1.14956,1.33063,1.50357,1.6610399999999998,1.80699,1.9365,2.0666700000000002,2.1927499999999998,2.3022400000000003
3.6,0.121218,0.221356,0.36007500000000003,0.5295089999999999,0.726917,0.946655,1.1635199999999999,1.35272,1.5317900000000002,1.69527,1.84676,1.98132,2.1160799999999997,2.24682,2.36026
3.7,0.12300000000000001,0.22331499999999999,0.362138,0.531709,0.7294419999999999,0.9508719999999999,1.17581,1.37336,1.55915,1.72871,1.88601,2.0255099999999997,2.1648,2.3003,2.4177299999999997
3.8000000000000003,0.125258,0.225281,0.36418300000000003,0.533946,0.731885,0.9542510000000001,1.18641,1.39255,1.58551,1.76102,1.9239000000000002,2.06866,2.21264,2.35289,2.4743
3.9000000000000004,0.127171,0.227254,0.36629700000000004,0.536143,0.73433,0.957385,1.19549,1.4102999999999999,1.6107,1.79263,1.9612800000000001,2.1111,2.25983,2.40507,2.53042
4.0,0.12998099999999999,0.22890200000000002,0.368316,0.5382880000000001,0.736724,0.9603259999999999,1.2026599999999998,1.4265700000000001,1.63436,1.82301,1.9972100000000002,2.15255,2.30612,2.4562199999999996,2.5857900000000003
4.1000000000000005,0.133005,0.230791,0.370277,0.540358,0.7391099999999999,0.963334,1.20829,1.4414099999999999,1.6567100000000001,1.85221,2.03249,2.19314,2.3516399999999997,2.5066699999999997,2.64055
4.2,0.13455,0.23275800000000002,0.372262,0.542433,0.741458,0.9661029999999999,1.21272,1.45468,1.67792,1.88007,2.06673,2.2328,2.39623,2.5564,2.6943599999999996
4.3,0.136712,0.234665,0.374276,0.544635,0.743807,0.968681,1.21641,1.46615,1.69768,1.90723,2.0999399999999997,2.27149,2.44013,2.60527,2.7475899999999998
4.4,0.13844599999999999,0.236589,0.376357,0.546794,0.746166,0.9712259999999999,1.21973,1.47587,1.71583,1.93283,2.13229,2.30951,2.48317,2.65347,2.80015
4.5,0.140214,0.238517,0.378288,0.548906,0.7483770000000001,0.973729,1.22275,1.4838799999999999,1.7326,1.9571900000000002,2.16336,2.34639,2.5251200000000003,2.70078,2.8518
