Vds,Vg=1,Vg=1.5,Vg=2,Vg=2.5,Vg=3,Vg=3.5,Vg=4,Vg=4.5,Vg=5,Vg=5.5,Vg=6,Vg=6.5,Vg=7,Vg=7.5,Vg=8
0.0,0.00048480999999999996,0.00043426500000000003,0.000444584,0.00043453299999999997,0.00042913500000000003,0.000401585,0.000382688,0.000347465,0.000316778,0.000277109,0.000214454,0.000115518,-9.05181e-05,-0.00042560499999999996,-0.0010572000000000001
0.1,0.0696281,0.0783929,0.08629490000000001,0.0936607,0.100407,0.106654,0.112549,0.118063,0.12317700000000001,0.12775899999999998,0.132222,0.135864,0.139864,0.142732,0.144533
0.2,0.13571,0.153549,0.169502,0.18437900000000002,0.197954,0.21057399999999998,0.222442,0.233582,0.243909,0.25318999999999997,0.262272,0.269765,0.277984,0.284243,0.288564
0.30000000000000004,0.198914,0.226004,0.250167,0.272669,0.29317,0.31223999999999996,0.33015,0.346984,0.36257599999999995,0.376618,0.39038799999999996,0.401797,0.41426,0.424059,0.430946
0.4,0.25973199999999996,0.296213,0.32881400000000005,0.35906000000000005,0.386602,0.412204,0.43624,0.45883399999999996,0.479766,0.498657,0.517158,0.532575,0.5492509999999999,0.56277,0.5720500000000001
0.5,0.31834,0.364275,0.40543799999999997,0.44358499999999995,0.47828299999999996,0.510498,0.540742,0.569168,0.595513,0.6193019999999999,0.6426189999999999,0.6621039999999999,0.683084,0.7002970000000001,0.712327
0.6000000000000001,0.374988,0.430173,0.480085,0.526282,0.568259,0.607197,0.643729,0.6780459999999999,0.709877,0.738641,0.7668459999999999,0.790492,0.8158259999999999,0.836828,0.851931
0.7000000000000001,0.430111,0.493961,0.552827,0.6072080000000001,0.6565829999999999,0.7023510000000001,0.745247,0.78555,0.822967,0.856773,0.889896,0.9178329999999999,0.947559,0.972357,0.9906820000000001
0.8,0.484361,0.5557160000000001,0.623667,0.6864119999999999,0.74334,0.7960200000000001,0.845394,0.891788,0.934878,0.9737790000000001,1.0133699999999999,1.04563,1.0798999999999999,1.1085699999999998,1.1293099999999998
0.9,0.538251,0.6154240000000001,0.692573,0.763843,0.828443,0.888185,0.9441299999999999,0.996668,1.04693,1.0910900000000001,1.1342800000000002,1.1709699999999998,1.20974,1.24245,1.26627
