vd[undefined],MNMOS_1:drain:I(Vg=1)[Amps],MNMOS_1:drain:I(Vg=2)[Amps],MNMOS_1:drain:I(Vg=3)[Amps],MNMOS_1:drain:I(Vg=4)[Amps],MNMOS_1:drain:I(Vg=5)[Amps],MNMOS_1:drain:I(Vg=6)[Amps],MNMOS_1:drain:I(Vg=7)[Amps],MNMOS_1:drain:I(Vg=8)[Amps]
 3.00000000000e+000, 1.75920796180e-004, 8.30681390296e-004, 1.76893124482e-003, 2.86357507253e-003, 3.89287839656e-003, 4.80125253965e-003, 5.60882637502e-003, 6.33149629572e-003
 3.10000000000e+000, 1.76151607385e-004, 8.31876354670e-004, 1.77172312112e-003, 2.87432506712e-003, 3.93692543346e-003, 4.87537740962e-003, 5.71023737250e-003, 6.45776080365e-003
 3.20000000000e+000, 1.76382793003e-004, 8.33073449203e-004, 1.77451986326e-003, 2.88073265894e-003, 3.97647920037e-003, 4.94493808472e-003, 5.80705015811e-003, 6.57942067711e-003
 3.30000000000e+000, 1.76614353842e-004, 8.34272680119e-004, 1.77732148924e-003, 2.88546628075e-003, 4.01161821181e-003, 5.01000971095e-003, 5.89933630283e-003, 6.69654387508e-003
 3.40000000000e+000, 1.76846290714e-004, 8.35474053665e-004, 1.78012801714e-003, 2.89020783319e-003, 4.04241916363e-003, 5.07066579366e-003, 5.98716589995e-003, 6.80919702577e-003
 3.50000000000e+000, 1.77078604433e-004, 8.36677576107e-004, 1.78293946508e-003, 2.89495735041e-003, 4.06895698537e-003, 5.12697824212e-003, 6.07060760304e-003, 6.91744545904e-003
 3.60000000000e+000, 1.77311295813e-004, 8.37883253735e-004, 1.78575585125e-003, 2.89971486660e-003, 4.09130489082e-003, 5.17901741260e-003, 6.14972866273e-003, 7.02135323784e-003
 3.70000000000e+000, 1.77544365672e-004, 8.39091092860e-004, 1.78857719387e-003, 2.90448041605e-003, 4.10953442682e-003, 5.22685215004e-003, 6.22459496235e-003, 7.12098318879e-003
 3.80000000000e+000, 1.77777814832e-004, 8.40301099813e-004, 1.79140351122e-003, 2.90925403310e-003, 4.12371552047e-003, 5.27054982848e-003, 6.29527105250e-003, 7.21639693187e-003
 3.90000000000e+000, 1.78011644115e-004, 8.41513280950e-004, 1.79423482164e-003, 2.91403575220e-003, 4.13391652468e-003, 5.31017639004e-003, 6.36182018459e-003, 7.30765490924e-003
 4.00000000000e+000, 1.78245854345e-004, 8.42727642645e-004, 1.79707114351e-003, 2.91882560783e-003, 4.14101657996e-003, 5.34579638286e-003, 6.42430434337e-003, 7.39481641326e-003
 4.10000000000e+000, 1.78480446350e-004, 8.43944191299e-004, 1.79991249528e-003, 2.92362363458e-003, 4.14788364284e-003, 5.37747299766e-003, 6.48278427845e-003, 7.47793961366e-003
 4.20000000000e+000, 1.78715420961e-004, 8.45162933330e-004, 1.80275889544e-003, 2.92842986709e-003, 4.15476198912e-003, 5.40526810328e-003, 6.53731953496e-003, 7.55708158405e-003
 4.30000000000e+000, 1.78950779008e-004, 8.46383875183e-004, 1.80561036255e-003, 2.93324434012e-003, 4.16165167047e-003, 5.42924228107e-003, 6.58796848320e-003, 7.63229832756e-003
 4.40000000000e+000, 1.79186521327e-004, 8.47607023321e-004, 1.80846691522e-003, 2.93806708846e-003, 4.16855273868e-003, 5.44945485817e-003, 6.63478834751e-003, 7.70364480186e-003
 4.50000000000e+000, 1.79422648753e-004, 8.48832384234e-004, 1.81132857210e-003, 2.94289814702e-003, 4.17546524561e-003, 5.46596393983e-003, 6.67783523424e-003, 7.77117494341e-003
 4.60000000000e+000, 1.79659162128e-004, 8.50059964432e-004, 1.81419535193e-003, 2.94773755076e-003, 4.18238924320e-003, 5.47882644070e-003, 6.71716415891e-003, 7.83494169110e-003
 4.70000000000e+000, 1.79896062291e-004, 8.51289770447e-004, 1.81706727348e-003, 2.95258533476e-003, 4.18932478353e-003, 5.48842218039e-003, 6.75282907264e-003, 7.89499700917e-003
 4.80000000000e+000, 1.80133350087e-004, 8.52521808837e-004, 1.81994435558e-003, 2.95744153415e-003, 4.19627191872e-003, 5.49744266613e-003, 6.78488288769e-003, 7.95139190959e-003
 4.90000000000e+000, 1.80371026364e-004, 8.53756086180e-004, 1.82282661712e-003, 2.96230618417e-003, 4.20323070104e-003, 5.50647776052e-003, 6.81337750242e-003, 8.00417647372e-003
 5.00000000000e+000, 1.80609091968e-004, 8.54992609078e-004, 1.82571407707e-003, 2.96717932012e-003, 4.21020118284e-003, 5.51552753131e-003, 6.83836382541e-003, 8.05339987347e-003
 5.10000000000e+000, 1.80847547753e-004, 8.56231384158e-004, 1.82860675443e-003, 2.97206097741e-003, 4.21718341656e-003, 5.52459204636e-003, 6.85989179897e-003, 8.09911039183e-003
 5.20000000000e+000, 1.81086394571e-004, 8.57472418067e-004, 1.83150466826e-003, 2.97695119154e-003, 4.22417745477e-003, 5.53367137361e-003, 6.87801042195e-003, 8.14135544290e-003
 5.30000000000e+000, 1.81325633279e-004, 8.58715717478e-004, 1.83440783771e-003, 2.98184999807e-003, 4.23118335013e-003, 5.54276558116e-003, 6.89276777189e-003, 8.18018159129e-003
 5.40000000000e+000, 1.81565264735e-004, 8.59961289088e-004, 1.83731628195e-003, 2.98675743269e-003, 4.23820115541e-003, 5.55187473720e-003, 6.90447520430e-003, 8.21563457112e-003
 5.50000000000e+000, 1.81805289802e-004, 8.61209139615e-004, 1.84023002025e-003, 2.99167353115e-003, 4.24523092349e-003, 5.56099891004e-003, 6.91560458332e-003, 8.24775930442e-003
 5.60000000000e+000, 1.82045709342e-004, 8.62459275804e-004, 1.84314907190e-003, 2.99659832932e-003, 4.25227270739e-003, 5.57013816813e-003, 6.92675181570e-003, 8.27659991907e-003
