vdd	Id(Mnmos@1)
Step Information: Vin=1  (Run: 1/8)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	7.879884e-005
2.000000000000000e-001	1.456696e-004
3.000000000000000e-001	2.006748e-004
4.000000000000000e-001	2.438766e-004
5.000000000000000e-001	2.753367e-004
6.000000000000000e-001	2.951162e-004
7.000000000000000e-001	3.032761e-004
7.999999999999999e-001	3.035252e-004
8.999999999999999e-001	3.035328e-004
9.999999999999999e-001	3.035404e-004
1.100000000000000e+000	3.035480e-004
1.200000000000000e+000	3.035557e-004
1.300000000000000e+000	3.035633e-004
1.400000000000000e+000	3.035709e-004
1.500000000000000e+000	3.035785e-004
1.600000000000000e+000	3.035861e-004
1.700000000000000e+000	3.035937e-004
1.800000000000001e+000	3.036013e-004
1.900000000000001e+000	3.036089e-004
2.000000000000000e+000	3.036165e-004
2.100000000000001e+000	3.036241e-004
2.200000000000001e+000	3.036317e-004
2.300000000000001e+000	3.036393e-004
2.400000000000001e+000	3.036469e-004
2.500000000000001e+000	3.036546e-004
2.600000000000001e+000	3.036621e-004
2.700000000000001e+000	3.036698e-004
2.800000000000001e+000	3.036774e-004
2.900000000000001e+000	3.036850e-004
3.000000000000001e+000	3.036926e-004
3.100000000000001e+000	3.037002e-004
3.200000000000002e+000	3.037078e-004
3.300000000000002e+000	3.037154e-004
3.400000000000002e+000	3.037230e-004
3.500000000000002e+000	3.037307e-004
3.600000000000002e+000	3.037383e-004
3.700000000000002e+000	3.037459e-004
3.800000000000002e+000	3.037535e-004
3.900000000000002e+000	3.037611e-004
4.000000000000002e+000	3.037687e-004
4.100000000000001e+000	3.037763e-004
4.200000000000001e+000	3.037839e-004
4.300000000000001e+000	3.037916e-004
4.400000000000000e+000	3.037992e-004
4.500000000000000e+000	3.038068e-004
4.600000000000000e+000	3.038144e-004
4.699999999999999e+000	3.038220e-004
4.799999999999999e+000	3.038296e-004
4.899999999999999e+000	3.038373e-004
4.999999999999998e+000	3.038449e-004
5.099999999999998e+000	3.038525e-004
5.199999999999998e+000	3.038601e-004
5.299999999999997e+000	3.038677e-004
5.399999999999997e+000	3.038753e-004
5.499999999999996e+000	3.038830e-004
5.599999999999996e+000	3.038906e-004
5.699999999999996e+000	3.038982e-004
5.799999999999995e+000	3.039058e-004
5.899999999999995e+000	3.039134e-004
5.999999999999995e+000	3.039211e-004
6.099999999999994e+000	3.039287e-004
6.199999999999994e+000	3.039363e-004
6.299999999999994e+000	3.039439e-004
6.399999999999993e+000	3.039515e-004
6.499999999999993e+000	3.039592e-004
6.599999999999993e+000	3.039668e-004
6.699999999999992e+000	3.039744e-004
6.799999999999992e+000	3.039820e-004
6.899999999999992e+000	3.039897e-004
6.999999999999991e+000	3.039973e-004
7.099999999999991e+000	3.040049e-004
7.199999999999990e+000	3.040125e-004
7.299999999999990e+000	3.040201e-004
7.399999999999990e+000	3.040278e-004
7.499999999999989e+000	3.040354e-004
7.599999999999989e+000	3.040430e-004
7.699999999999989e+000	3.040506e-004
7.799999999999988e+000	3.040583e-004
7.899999999999988e+000	3.040659e-004
8.000000000000000e+000	3.040735e-004
Step Information: Vin=2  (Run: 2/8)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	1.763002e-004
2.000000000000000e-001	3.415327e-004
3.000000000000000e-001	4.957498e-004
4.000000000000000e-001	6.390035e-004
5.000000000000000e-001	7.713456e-004
6.000000000000000e-001	8.928275e-004
7.000000000000000e-001	1.003500e-003
7.999999999999999e-001	1.103414e-003
8.999999999999999e-001	1.192620e-003
9.999999999999999e-001	1.271168e-003
1.100000000000000e+000	1.339108e-003
1.200000000000000e+000	1.396489e-003
1.300000000000000e+000	1.443361e-003
1.400000000000000e+000	1.479772e-003
1.500000000000000e+000	1.505771e-003
1.600000000000000e+000	1.521406e-003
1.700000000000000e+000	1.526726e-003
1.800000000000001e+000	1.526792e-003
1.900000000000001e+000	1.526857e-003
2.000000000000000e+000	1.526922e-003
2.100000000000001e+000	1.526988e-003
2.200000000000001e+000	1.527053e-003
2.300000000000001e+000	1.527119e-003
2.400000000000001e+000	1.527184e-003
2.500000000000001e+000	1.527249e-003
2.600000000000001e+000	1.527315e-003
2.700000000000001e+000	1.527380e-003
2.800000000000001e+000	1.527446e-003
2.900000000000001e+000	1.527511e-003
3.000000000000001e+000	1.527576e-003
3.100000000000001e+000	1.527642e-003
3.200000000000002e+000	1.527707e-003
3.300000000000002e+000	1.527772e-003
3.400000000000002e+000	1.527838e-003
3.500000000000002e+000	1.527903e-003
3.600000000000002e+000	1.527969e-003
3.700000000000002e+000	1.528034e-003
3.800000000000002e+000	1.528100e-003
3.900000000000002e+000	1.528165e-003
4.000000000000002e+000	1.528230e-003
4.100000000000001e+000	1.528296e-003
4.200000000000001e+000	1.528361e-003
4.300000000000001e+000	1.528427e-003
4.400000000000000e+000	1.528492e-003
4.500000000000000e+000	1.528558e-003
4.600000000000000e+000	1.528623e-003
4.699999999999999e+000	1.528688e-003
4.799999999999999e+000	1.528754e-003
4.899999999999999e+000	1.528819e-003
4.999999999999998e+000	1.528885e-003
5.099999999999998e+000	1.528950e-003
5.199999999999998e+000	1.529016e-003
5.299999999999997e+000	1.529081e-003
5.399999999999997e+000	1.529147e-003
5.499999999999996e+000	1.529212e-003
5.599999999999996e+000	1.529278e-003
5.699999999999996e+000	1.529343e-003
5.799999999999995e+000	1.529409e-003
5.899999999999995e+000	1.529474e-003
5.999999999999995e+000	1.529539e-003
6.099999999999994e+000	1.529605e-003
6.199999999999994e+000	1.529670e-003
