vd[undefined],MNMOS_1:drain:I(Vg=1)[Amps],MNMOS_1:drain:I(Vg=2)[Amps],MNMOS_1:drain:I(Vg=3)[Amps],MNMOS_1:drain:I(Vg=4)[Amps],MNMOS_1:drain:I(Vg=5)[Amps],MNMOS_1:drain:I(Vg=6)[Amps],MNMOS_1:drain:I(Vg=7)[Amps],MNMOS_1:drain:I(Vg=8)[Amps]
 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000
 1.00000000000e-001, 2.72794908618e-005, 6.19671023591e-005, 9.05765816811e-005, 1.14576797534e-004, 1.34998604875e-004, 1.52586786297e-004, 1.67892848884e-004, 1.81333899747e-004
 2.00000000000e-001, 4.93837033021e-005, 1.17589468095e-004, 1.74104492392e-004, 2.21697270151e-004, 2.62326103589e-004, 2.97415273410e-004, 3.28025453006e-004, 3.54962779703e-004
 3.00000000000e-001, 6.67107426593e-005, 1.67310479183e-004, 2.51034992620e-004, 3.21801837268e-004, 3.82403057730e-004, 4.34882300337e-004, 4.80769821901e-004, 5.21234175698e-004
 4.00000000000e-001, 7.96189030551e-005, 2.11533145548e-004, 3.21781627719e-004, 4.15296902622e-004, 4.95619838058e-004, 5.65358095238e-004, 6.26474561294e-004, 6.80475032296e-004
 5.00000000000e-001, 8.84315225031e-005, 2.50624597877e-004, 3.86724087424e-004, 5.02558076054e-004, 6.02339285880e-004, 6.89188469212e-004, 7.65466685067e-004, 8.32993205553e-004
 6.00000000000e-001, 9.34411444174e-005, 2.84919993517e-004, 4.46211600929e-004, 5.83933035915e-004, 7.02899097768e-004, 8.06696796570e-004, 8.98053261462e-004, 9.79078836074e-004
 7.00000000000e-001, 9.52953263576e-005, 3.14725922993e-004, 5.00565931444e-004, 6.59744078018e-004, 7.97613966617e-004, 9.18185805458e-004, 1.02452291092e-003, 1.11900560522e-003
 8.00000000000e-001, 9.66894497104e-005, 3.40323390092e-004, 5.50084024286e-004, 7.30290390463e-004, 8.86777507592e-004, 1.02393919969e-003, 1.14514717097e-003, 1.25303188593e-003
 9.00000000000e-001, 9.81011572968e-005, 3.61970426511e-004, 5.95040354403e-004, 7.95850088113e-004, 9.70663993760e-004, 1.12422313007e-003, 1.26018174163e-003, 1.38140179830e-003
