vd[undefined],MNMOS_1:drain:I(Vg=1)[Amps],MNMOS_1:drain:I(Vg=2)[Amps],MNMOS_1:drain:I(Vg=3)[Amps],MNMOS_1:drain:I(Vg=4)[Amps],MNMOS_1:drain:I(Vg=5)[Amps],MNMOS_1:drain:I(Vg=6)[Amps],MNMOS_1:drain:I(Vg=7)[Amps],MNMOS_1:drain:I(Vg=8)[Amps]
 1.00000000000e+000, 9.95307065196e-005, 3.79904392302e-004, 6.35689012367e-004, 8.56682035856e-004, 1.04952992301e-003, 1.21928753124e-003, 1.36986762354e-003, 1.50434617903e-003
 1.10000000000e+000, 1.00978359543e-004, 3.94344005311e-004, 6.72265562241e-004, 9.13027485775e-004, 1.12361543505e-003, 1.30936733815e-003, 1.47443215923e-003, 1.62208347276e-003
 1.20000000000e+000, 1.02444383404e-004, 4.05491136124e-004, 7.04988699876e-004, 9.65111550035e-004, 1.19314559504e-003, 1.39468359474e-003, 1.57408998714e-003, 1.73482055267e-003
 1.30000000000e+000, 1.03929050120e-004, 4.13532399546e-004, 7.34061736226e-004, 1.01314452840e-003, 1.25833155811e-003, 1.47544446558e-003, 1.66904391685e-003, 1.84275347662e-003
 1.40000000000e+000, 1.05432636815e-004, 4.18682185912e-004, 7.59673926845e-004, 1.05732310681e-003, 1.31937162772e-003, 1.55184616049e-003, 1.75948573279e-003, 1.94606818481e-003
 1.50000000000e+000, 1.06955425828e-004, 4.22887172338e-004, 7.82001665857e-004, 1.09783144152e-003, 1.37645221868e-003, 1.62407378057e-003, 1.84559693346e-003, 2.04494114418e-003
 1.60000000000e+000, 1.08497704845e-004, 4.27140239751e-004, 8.01209560250e-004, 1.13484214111e-003, 1.42974873496e-003, 1.69230209339e-003, 1.92754941183e-003, 2.13953994408e-003
 1.70000000000e+000, 1.10059767024e-004, 4.31442115982e-004, 8.17451398263e-004, 1.16851715772e-003, 1.47942637084e-003, 1.75669624418e-003, 2.00550608252e-003, 2.23002384759e-003
 1.80000000000e+000, 1.11641911126e-004, 4.35793543792e-004, 8.30871023836e-004, 1.19900859690e-003, 1.52564084307e-003, 1.81741240907e-003, 2.07962146045e-003, 2.31654430230e-003
 1.90000000000e+000, 1.13244441646e-004, 4.40195281258e-004, 8.41603127604e-004, 1.22645945473e-003, 1.56853906092e-003, 1.87459839583e-003, 2.15004219525e-003, 2.39924541389e-003
 2.00000000000e+000, 1.14867668961e-004, 4.44648102170e-004, 8.49866872650e-004, 1.25100428973e-003, 1.60825974026e-003, 1.92839419694e-003, 2.21690756549e-003, 2.47826438569e-003
 2.10000000000e+000, 1.16511909464e-004, 4.49152796432e-004, 8.57523720645e-004, 1.27276983614e-003, 1.64493396684e-003, 1.97893249942e-003, 2.28034993601e-003, 2.55373192710e-003
 2.20000000000e+000, 1.18177485718e-004, 4.53710170490e-004, 8.65262371658e-004, 1.29187556444e-003, 1.67868571386e-003, 2.02633915522e-003, 2.34049518169e-003, 2.62577263323e-003
 2.30000000000e+000, 1.19864726606e-004, 4.58321047762e-004, 8.73084118912e-004, 1.30843419446e-003, 1.70963231784e-003, 2.07073361574e-003, 2.39746308034e-003, 2.69450533834e-003
 2.40000000000e+000, 1.21573967488e-004, 4.62986269087e-004, 8.80990282020e-004, 1.32255216550e-003, 1.73788491691e-003, 2.11222933363e-003, 2.45136767750e-003, 2.76004344498e-003
 2.50000000000e+000, 1.23305550364e-004, 4.67706693186e-004, 8.88982207701e-004, 1.33437661686e-003, 1.76354885477e-003, 2.15093413465e-003, 2.50231762527e-003, 2.82249523078e-003
 2.60000000000e+000, 1.25059824039e-004, 4.72483197139e-004, 8.97061270500e-004, 1.34554136832e-003, 1.78672405343e-003, 2.18695056231e-003, 2.55041649740e-003, 2.88196413479e-003
 2.70000000000e+000, 1.26837144298e-004, 4.77316676878e-004, 9.05228873543e-004, 1.35681898216e-003, 1.80750535759e-003, 2.22037619734e-003, 2.59576308261e-003, 2.93854902472e-003
 2.80000000000e+000, 1.28637874078e-004, 4.82208047692e-004, 9.13486449310e-004, 1.36821126021e-003, 1.82598285308e-003, 2.25130395438e-003, 2.63845165774e-003, 2.99234444674e-003
 2.90000000000e+000, 1.30462383658e-004, 4.87158244756e-004, 9.21835460431e-004, 1.37972003973e-003, 1.84224216167e-003, 2.27982235759e-003, 2.67857224242e-003, 3.04344085903e-003
 3.00000000000e+000, 1.32311050843e-004, 4.92168223669e-004, 9.30277400513e-004, 1.39134719441e-003, 1.85681483962e-003, 2.30601579692e-003, 2.71621083669e-003, 3.09192485037e-003
 3.10000000000e+000, 1.34184261161e-004, 4.97238961014e-004, 9.38813794986e-004, 1.40309463531e-003, 1.87137648397e-003, 2.32996476670e-003, 2.75144964288e-003, 3.13787934483e-003
 3.20000000000e+000, 1.36082408062e-004, 5.02371454937e-004, 9.47446201982e-004, 1.41496431194e-003, 1.88607903521e-003, 2.35174608782e-003, 2.78436727298e-003, 3.18138379367e-003
 3.30000000000e+000, 1.38005893127e-004, 5.07566725745e-004, 9.56176213243e-004, 1.42695821328e-003, 1.90092471093e-003, 2.37143311497e-003, 2.81503894249e-003, 3.22251435517e-003
 3.40000000000e+000, 1.39955126282e-004, 5.12825816521e-004, 9.65005455051e-004, 1.43907836886e-003, 1.91591577098e-003, 2.38926733331e-003, 2.84353665194e-003, 3.26134406357e-003
 3.50000000000e+000, 1.41930526018e-004, 5.18149793762e-004, 9.73935589195e-004, 1.45132684987e-003, 1.93105451860e-003, 2.40687516575e-003, 2.86992935680e-003, 3.29794298758e-003
 3.60000000000e+000, 1.43932519620e-004, 5.23539748041e-004, 9.82968313970e-004, 1.46370577037e-003, 1.94634330158e-003, 2.42464622617e-003, 2.89428312684e-003, 3.33237837938e-003
 3.70000000000e+000, 1.45961543402e-004, 5.28996794686e-004, 9.92105365204e-004, 1.47621728840e-003, 1.96178451347e-003, 2.44258300582e-003, 2.91666129546e-003, 3.36471481477e-003
 3.80000000000e+000, 1.48018042951e-004, 5.34522074488e-004, 1.00134851733e-003, 1.48886360724e-003, 1.97738059478e-003, 2.46068804185e-003, 2.93727813429e-003, 3.39501432496e-003
 3.90000000000e+000, 1.50102473375e-004, 5.40116754429e-004, 1.01069958447e-003, 1.50164697669e-003, 1.99313403431e-003, 2.47896391849e-003, 2.95768575370e-003, 3.42333652071e-003
 4.00000000000e+000, 1.52215299570e-004, 5.45782028435e-004, 1.02016042159e-003, 1.51456969432e-003, 2.00904737039e-003, 2.49741326825e-003, 2.97827535365e-003, 3.44973870922e-003
 4.10000000000e+000, 1.54356996477e-004, 5.51519118161e-004, 1.02973292568e-003, 1.52763410689e-003, 2.02512319229e-003, 2.51603877321e-003, 2.99904961100e-003, 3.47427600436e-003
 4.20000000000e+000, 1.56528049370e-004, 5.57329273797e-004, 1.03941903695e-003, 1.54084261166e-003, 2.04136414153e-003, 2.53484316628e-003, 3.02001125038e-003, 3.49727666444e-003
 4.30000000000e+000, 1.58728954136e-004, 5.63213774905e-004, 1.04922074008e-003, 1.55419765787e-003, 2.05777291338e-003, 2.55382923255e-003, 3.04116304543e-003, 3.52025094689e-003
 4.40000000000e+000, 1.60960217570e-004, 5.69173931286e-004, 1.05914006557e-003, 1.56770174821e-003, 2.07435225830e-003, 2.57299981065e-003, 3.06250782000e-003, 3.54342281420e-003
 4.50000000000e+000, 1.63222357688e-004, 5.75211083877e-004, 1.06917909105e-003, 1.58135744032e-003, 2.09110498345e-003, 2.59235779413e-003, 3.08404844937e-003, 3.56679506043e-003
 4.60000000000e+000, 1.65515904034e-004, 5.81326605680e-004, 1.07933994268e-003, 1.59516734844e-003, 2.10803395427e-003, 2.61190613295e-003, 3.10578786161e-003, 3.59037052805e-003
 4.70000000000e+000, 1.67841398014e-004, 5.87521902728e-004, 1.08962479658e-003, 1.60913414493e-003, 2.12514209606e-003, 2.63164783494e-003, 3.12772903882e-003, 3.61415210910e-003
 4.80000000000e+000, 1.70199393233e-004, 5.93798415078e-004, 1.10003588037e-003, 1.62326056208e-003, 2.14243239570e-003, 2.65158596733e-003, 3.14987501856e-003, 3.63814274641e-003
 4.90000000000e+000, 1.72590455843e-004, 6.00157617851e-004, 1.11057547466e-003, 1.63754939375e-003, 2.15990790331e-003, 2.67172365833e-003, 3.17222889518e-003, 3.66234543474e-003
 5.00000000000e+000, 1.75015164907e-004, 6.06601022299e-004, 1.12124591471e-003, 1.65200349723e-003, 2.17757173404e-003, 2.69206409877e-003, 3.19479382132e-003, 3.68676322209e-003
 5.10000000000e+000, 1.77474112774e-004, 6.13130176922e-004, 1.13204959205e-003, 1.66662579509e-003, 2.19542706991e-003, 2.71261054373e-003, 3.21757300935e-003, 3.71139921096e-003
 5.20000000000e+000, 1.79967905466e-004, 6.19746668616e-004, 1.14298895622e-003, 1.68141927710e-003, 2.21347716168e-003, 2.73336631431e-003, 3.24056973288e-003, 3.73625655965e-003
 5.30000000000e+000, 1.82497163080e-004, 6.26452123876e-004, 1.15406651657e-003, 1.69638700224e-003, 2.23172533082e-003, 2.75433479941e-003, 3.26378732836e-003, 3.76133848359e-003
 5.40000000000e+000, 1.85062520206e-004, 6.33248210033e-004, 1.16528484407e-003, 1.71153210075e-003, 2.25017497147e-003, 2.77551945749e-003, 3.28722919664e-003, 3.78664825677e-003
 5.50000000000e+000, 1.87664626356e-004, 6.40136636542e-004, 1.17664657329e-003, 1.72685777629e-003, 2.26882955260e-003, 2.79692381854e-003, 3.31089880466e-003, 3.81218921314e-003
 5.60000000000e+000, 1.90304146408e-004, 6.47119156323e-004, 1.18815440434e-003, 1.74236730812e-003, 2.28769262006e-003, 2.81855148599e-003, 3.33479968715e-003, 3.83796474807e-003
 5.70000000000e+000, 1.92981761077e-004, 6.54197567148e-004, 1.19981110496e-003, 1.75806405343e-003, 2.30676779891e-003, 2.84040613872e-003, 3.35893544835e-003, 3.86397831984e-003
 5.80000000000e+000, 1.95698167383e-004, 6.61373713084e-004, 1.21161951267e-003, 1.77395144970e-003, 2.32605879560e-003, 2.86249153311e-003, 3.38330976386e-003, 3.89023345122e-003
 5.90000000000e+000, 1.98454079157e-004, 6.68649485993e-004, 1.22358253699e-003, 1.79003301716e-003, 2.34556940045e-003, 2.88481150523e-003, 3.40792638246e-003, 3.91673373101e-003
 6.00000000000e+000, 2.01250227552e-004, 6.76026827085e-004, 1.23570316176e-003, 1.80631236132e-003, 2.36530349002e-003, 2.90736997299e-003, 3.43278912806e-003, 3.94348281571e-003
 6.10000000000e+000, 2.04087361578e-004, 6.83507728542e-004, 1.24798444752e-003, 1.82279317568e-003, 2.38526502969e-003, 2.93017093847e-003, 3.45790190163e-003, 3.97048443120e-003
 6.20000000000e+000, 2.06966248657e-004, 6.91094235199e-004, 1.26042953403e-003, 1.83947924439e-003, 2.40545807629e-003, 2.95321849021e-003, 3.48326868328e-003, 3.99774237443e-003
 6.30000000000e+000, 2.09887675195e-004, 6.98788446291e-004, 1.27304164289e-003, 1.85637444516e-003, 2.42588678080e-003, 2.97651680569e-003, 3.50889353432e-003, 4.02526051524e-003
 6.40000000000e+000, 2.12852447182e-004, 7.06592517277e-004, 1.28582408015e-003, 1.87348275217e-003, 2.44655539117e-003, 3.00007015382e-003, 3.53478059944e-003, 4.05304279816e-003
 6.50000000000e+000, 2.15861390810e-004, 7.14508661733e-004, 1.29878023920e-003, 1.89080823917e-003, 2.46746825524e-003, 3.02388289751e-003, 3.56093410891e-003, 4.08109324431e-003
 6.60000000000e+000, 2.18915353114e-004, 7.22539153321e-004, 1.31191360365e-003, 1.90835508261e-003, 2.48862982375e-003, 3.04795949640e-003, 3.58735838093e-003, 4.10941595334e-003
 6.70000000000e+000, 2.22015202642e-004, 7.30686327841e-004, 1.32522775034e-003, 1.92612756499e-003, 2.51004465346e-003, 3.07230450956e-003, 3.61405782392e-003, 4.13801510538e-003
 6.80000000000e+000, 2.25161830146e-004, 7.38952585368e-004, 1.33872635254e-003, 1.94413007825e-003, 2.53171741042e-003, 3.09692259841e-003, 3.64103693905e-003, 4.16689496317e-003
 6.90000000000e+000, 2.28356149305e-004, 7.47340392480e-004, 1.35241318320e-003, 1.96236712734e-003, 2.55365287327e-003, 3.12181852964e-003, 3.66830032271e-003, 4.19605987411e-003
 7.00000000000e+000, 2.31599097471e-004, 7.55852284569e-004, 1.36629211836e-003, 1.98084333393e-003, 2.57585593678e-003, 3.14699717828e-003, 3.69585266910e-003, 4.22551427248e-003
 7.10000000000e+000, 2.34891636446e-004, 7.64490868262e-004, 1.38036714077e-003, 1.99956344024e-003, 2.59833161540e-003, 3.17246353089e-003, 3.72369877298e-003, 4.25526268165e-003
 7.20000000000e+000, 2.38234753293e-004, 7.73258823940e-004, 1.39464234351e-003, 2.01853231303e-003, 2.62108504705e-003, 3.19822268878e-003, 3.75184353236e-003, 4.28530971643e-003
 7.30000000000e+000, 2.41629461177e-004, 7.82158908359e-004, 1.40912193392e-003, 2.03775494777e-003, 2.64412149697e-003, 3.22427987145e-003, 3.78029195145e-003, 4.31566008545e-003
 7.40000000000e+000, 2.45076800239e-004, 7.91193957394e-004, 1.42381023760e-003, 2.05723647295e-003, 2.66744636175e-003, 3.25064042007e-003, 3.80904914355e-003, 4.34631859356e-003
 7.50000000000e+000, 2.48577838503e-004, 8.00366888892e-004, 1.43871170260e-003, 2.07698215456e-003, 2.69106517350e-003, 3.27730980112e-003, 3.83812033413e-003, 4.37729014447e-003
 7.60000000000e+000, 2.52133672828e-004, 8.09680705660e-004, 1.45383090381e-003, 2.09699740081e-003, 2.71498360422e-003, 3.30429361015e-003, 3.86751086402e-003, 4.40857974324e-003
 7.70000000000e+000, 2.55745429894e-004, 8.19138498571e-004, 1.46917254752e-003, 2.11728776694e-003, 2.73920747027e-003, 3.33159757567e-003, 3.89722619260e-003, 4.44019249909e-003
 7.80000000000e+000, 2.59414267222e-004, 8.28743449824e-004, 1.48474147619e-003, 2.13785896033e-003, 2.76374273703e-003, 3.35922756320e-003, 3.92727190126e-003, 4.47213362810e-003
 7.90000000000e+000, 2.63141374252e-004, 8.38498836333e-004, 1.50054267340e-003, 2.15871684576e-003, 2.78859552382e-003, 3.38718957943e-003, 3.95765369681e-003, 4.50440845611e-003
 8.00000000000e+000, 2.66927973449e-004, 8.48408033281e-004, 1.51658126906e-003, 2.17986745092e-003, 2.81377210888e-003, 3.41548977656e-003, 3.98837741513e-003, 4.53702242168e-003
