vd[undefined],MNMOS_1:drain:I(Vg=1)[Amps],MNMOS_1:drain:I(Vg=2)[Amps],MNMOS_1:drain:I(Vg=3)[Amps],MNMOS_1:drain:I(Vg=4)[Amps],MNMOS_1:drain:I(Vg=5)[Amps],MNMOS_1:drain:I(Vg=6)[Amps],MNMOS_1:drain:I(Vg=7)[Amps],MNMOS_1:drain:I(Vg=8)[Amps]
 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000
 1.00000000000e-001, 9.21404389743e-005, 2.06599453900e-004, 3.00747415847e-004, 3.79550104111e-004, 4.46476523400e-004, 5.04023329285e-004, 5.54033200846e-004, 5.97895809272e-004
 2.00000000000e-001, 1.68911939285e-004, 3.97214885390e-004, 5.85343463633e-004, 7.43044316320e-004, 8.77147152570e-004, 9.92579997487e-004, 1.09298800422e-003, 1.18112539552e-003
 3.00000000000e-001, 2.30777435190e-004, 5.72281729706e-004, 8.54189745493e-004, 1.09084982550e-003, 1.29234650501e-003, 1.46597479708e-003, 1.61714233205e-003, 1.74994266101e-003
 4.00000000000e-001, 2.78181453451e-004, 7.32219748297e-004, 1.10767465861e-003, 1.42332270869e-003, 1.69239981910e-003, 1.92450456431e-003, 2.12676731783e-003, 2.30459568088e-003
 5.00000000000e-001, 3.11551019242e-004, 8.77433727774e-004, 1.34617393354e-003, 1.74080834830e-003, 2.07762328038e-003, 2.36845843713e-003, 2.62212751264e-003, 2.84532686934e-003
 6.00000000000e-001, 3.31296509078e-004, 1.00831414178e-003, 1.57005114637e-003, 2.04364183062e-003, 2.44832433439e-003, 2.79811810314e-003, 3.10348108371e-003, 3.37237314027e-003
 7.00000000000e-001, 3.37819031257e-004, 1.12523777807e-003, 1.77965820629e-003, 2.33214832662e-003, 2.80480198658e-003, 3.21375803803e-003, 3.57108000577e-003, 3.88596606230e-003
 8.00000000000e-001, 3.38259444914e-004, 1.22856833290e-003, 1.97533581981e-003, 2.60664345604e-003, 3.14734708994e-003, 3.61564573491e-003, 4.02517024569e-003, 4.38633200871e-003
 9.00000000000e-001, 3.38700565458e-004, 1.31865697472e-003, 2.15741393307e-003, 2.86743363553e-003, 3.47624262100e-003, 4.00404192498e-003, 4.46599194039e-003, 4.87369230237e-003
 1.00000000000e+000, 3.39142394395e-004, 1.39584287899e-003, 2.32621215325e-003, 3.11481641160e-003, 3.79176394463e-003, 4.37920078981e-003, 4.89377956865e-003, 5.34826335575e-003
 1.10000000000e+000, 3.39584933235e-004, 1.46045373580e-003, 2.48204015045e-003, 3.34908077935e-003, 4.09417906827e-003, 4.74137016573e-003, 5.30876211667e-003, 5.81025680637e-003
 1.20000000000e+000, 3.40028183494e-004, 1.51280623194e-003, 2.62519804088e-003, 3.57050748744e-003, 4.38374888603e-003, 5.09079174064e-003, 5.71116323807e-003, 6.25987964777e-003
 1.30000000000e+000, 3.40472146691e-004, 1.55320650893e-003, 2.75597675248e-003, 3.77936933016e-003, 4.66072741314e-003, 5.42770124344e-003, 6.10120140815e-003, 6.69733435619e-003
