vdd	Id(Mnmos@1)
Step Information: Vin=1  (Run: 1/8)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	2.533681e-005
2.000000000000000e-001	4.689390e-005
3.000000000000000e-001	6.467768e-005
4.000000000000000e-001	7.869449e-005
5.000000000000000e-001	8.895072e-005
6.000000000000000e-001	9.545269e-005
7.000000000000000e-001	9.820674e-005
7.999999999999999e-001	9.831094e-005
8.999999999999999e-001	9.831118e-005
9.999999999999999e-001	9.831142e-005
1.100000000000000e+000	9.831165e-005
1.200000000000000e+000	9.831189e-005
1.300000000000000e+000	9.831212e-005
1.400000000000000e+000	9.831236e-005
1.500000000000000e+000	9.831259e-005
1.600000000000000e+000	9.831283e-005
1.700000000000000e+000	9.831307e-005
1.800000000000001e+000	9.831330e-005
1.900000000000001e+000	9.831354e-005
2.000000000000000e+000	9.831377e-005
2.100000000000001e+000	9.831401e-005
2.200000000000001e+000	9.831425e-005
2.300000000000001e+000	9.831448e-005
2.400000000000001e+000	9.831472e-005
2.500000000000001e+000	9.831495e-005
2.600000000000001e+000	9.831519e-005
2.700000000000001e+000	9.831542e-005
2.800000000000001e+000	9.831566e-005
2.900000000000001e+000	9.831590e-005
3.000000000000001e+000	9.831613e-005
3.100000000000001e+000	9.831637e-005
3.200000000000002e+000	9.831660e-005
3.300000000000002e+000	9.831684e-005
3.400000000000002e+000	9.831708e-005
3.500000000000002e+000	9.831731e-005
3.600000000000002e+000	9.831755e-005
3.700000000000002e+000	9.831778e-005
3.800000000000002e+000	9.831802e-005
3.900000000000002e+000	9.831825e-005
4.000000000000002e+000	9.831849e-005
4.100000000000001e+000	9.831873e-005
4.200000000000001e+000	9.831896e-005
4.300000000000001e+000	9.831920e-005
4.400000000000000e+000	9.831943e-005
4.500000000000000e+000	9.831967e-005
4.600000000000000e+000	9.831991e-005
4.699999999999999e+000	9.832014e-005
4.799999999999999e+000	9.832038e-005
4.899999999999999e+000	9.832061e-005
4.999999999999998e+000	9.832085e-005
5.099999999999998e+000	9.832108e-005
5.199999999999998e+000	9.832132e-005
5.299999999999997e+000	9.832156e-005
5.399999999999997e+000	9.832179e-005
5.499999999999996e+000	9.832203e-005
5.599999999999996e+000	9.832226e-005
5.699999999999996e+000	9.832250e-005
5.799999999999995e+000	9.832274e-005
5.899999999999995e+000	9.832298e-005
5.999999999999995e+000	9.832321e-005
6.099999999999994e+000	9.832344e-005
6.199999999999994e+000	9.832368e-005
6.299999999999994e+000	9.832392e-005
6.399999999999993e+000	9.832416e-005
6.499999999999993e+000	9.832439e-005
6.599999999999993e+000	9.832463e-005
6.699999999999992e+000	9.832486e-005
6.799999999999992e+000	9.832509e-005
6.899999999999992e+000	9.832533e-005
6.999999999999991e+000	9.832557e-005
7.099999999999991e+000	9.832581e-005
7.199999999999990e+000	9.832604e-005
7.299999999999990e+000	9.832627e-005
7.399999999999990e+000	9.832651e-005
7.499999999999989e+000	9.832675e-005
7.599999999999989e+000	9.832699e-005
7.699999999999989e+000	9.832722e-005
7.799999999999988e+000	9.832746e-005
7.899999999999988e+000	9.832769e-005
8.000000000000000e+000	9.832792e-005
