vd[undefined],MNMOS_1:drain:I(Vg=1)[Amps],MNMOS_1:drain:I(Vg=2)[Amps],MNMOS_1:drain:I(Vg=3)[Amps],MNMOS_1:drain:I(Vg=4)[Amps],MNMOS_1:drain:I(Vg=5)[Amps],MNMOS_1:drain:I(Vg=6)[Amps],MNMOS_1:drain:I(Vg=7)[Amps],MNMOS_1:drain:I(Vg=8)[Amps]
 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000, 0.00000000000e+000
 1.00000000000e-001, 2.66300462453e-005, 5.96800456989e-005, 8.68297472050e-005, 1.09529707944e-004, 1.28791016332e-004, 1.45340003773e-004, 1.59711897335e-004, 1.72309792285e-004
 2.00000000000e-001, 4.91533763829e-005, 1.15479069205e-004, 1.69992552448e-004, 2.15591337313e-004, 2.54296893837e-004, 2.87562465276e-004, 3.16459616344e-004, 3.41795817312e-004
 3.00000000000e-001, 6.76061888808e-005, 1.67427944494e-004, 2.49514995362e-004, 3.18207975403e-004, 3.76537852340e-004, 4.26685226924e-004, 4.70259009793e-004, 5.08472247983e-004
 4.00000000000e-001, 8.20242580269e-005, 2.15557218933e-004, 3.25423399320e-004, 4.17402505037e-004, 4.95533946071e-004, 5.62725995235e-004, 6.21125817606e-004, 6.72353162508e-004
 5.00000000000e-001, 9.24429401239e-005, 2.59897117588e-004, 3.97743834511e-004, 5.13197606826e-004, 6.11305065354e-004, 6.95702342124e-004, 7.69075667867e-004, 8.33452545201e-004
 6.00000000000e-001, 9.88971795767e-005, 3.00477547464e-004, 4.66502120981e-004, 6.05615761397e-004, 7.23870938280e-004, 8.25631706178e-004, 9.14124077813e-004, 9.91784287252e-004
 7.00000000000e-001, 1.01421514873e-004, 3.37328101676e-004, 5.31723831624e-004, 6.94679251591e-004, 8.33251132358e-004, 9.52531393917e-004, 1.05628645481e-003, 1.14736218751e-003
 8.00000000000e-001, 1.01469960128e-004, 3.70478063558e-004, 5.93434295132e-004, 7.80410164635e-004, 9.39465056147e-004, 1.07641858105e-003, 1.19557809733e-003, 1.30019995325e-003
 9.00000000000e-001, 1.01477699226e-004, 3.99956410705e-004, 6.51658598905e-004, 8.62830394283e-004, 1.04253196086e-003, 1.19731031368e-003, 1.33201419592e-003, 1.45031120092e-003
 1.00000000000e+000, 1.01485439180e-004, 4.25791818955e-004, 7.06421591913e-004, 9.41961642929e-004, 1.14247094197e-003, 1.31522350958e-003, 1.46560983412e-003, 1.59770945690e-003
 1.10000000000e+000, 1.01493179992e-004, 4.48012666302e-004, 7.57747887528e-004, 1.01782542370e-003, 1.23930094076e-003, 1.43017495934e-003, 1.59637998943e-003, 1.74240815824e-003
 1.20000000000e+000, 1.01500921661e-004, 4.66647036757e-004, 8.05661866304e-004, 1.09044306249e-003, 1.33304074589e-003, 1.54218132759e-003, 1.72433953425e-003, 1.88442065341e-003
 1.30000000000e+000, 1.01508664187e-004, 4.81722724145e-004, 8.50187678727e-004, 1.15983570004e-003, 1.42370899494e-003, 1.65125915418e-003, 1.84950323677e-003, 2.02376020302e-003
 1.40000000000e+000, 1.01516407570e-004, 4.93267235840e-004, 8.91349247921e-004, 1.22602429390e-003, 1.51132417590e-003, 1.75742485532e-003, 1.97188576190e-003, 2.16043998053e-003
 1.50000000000e+000, 1.01524151811e-004, 5.01307796451e-004, 9.29170272315e-004, 1.28902962041e-003, 1.59590462870e-003, 1.86069472477e-003, 2.09150167217e-003, 2.29447307299e-003
 1.60000000000e+000, 1.01531896909e-004, 5.05871351440e-004, 9.63674228281e-004, 1.34887227669e-003, 1.67746854665e-003, 1.96108493497e-003, 2.20836542861e-003, 2.42587248172e-003
 1.70000000000e+000, 1.01539642866e-004, 5.07048988629e-004, 9.94884372722e-004, 1.40557268254e-003, 1.75603397794e-003, 2.05861153813e-003, 2.32249139166e-003, 2.55465112303e-003
 1.80000000000e+000, 1.01547389680e-004, 5.07110202465e-004, 1.02282374563e-003, 1.45915108233e-003, 1.83161882707e-003, 2.15329046739e-003, 2.43389382201e-003, 2.68082182890e-003
 1.90000000000e+000, 1.01555137352e-004, 5.07171424618e-004, 1.04751517263e-003, 1.50962754694e-003, 1.90424085625e-003, 2.24513753792e-003, 2.54258688148e-003, 2.80439734769e-003
 2.00000000000e+000, 1.01562885883e-004, 5.07232655091e-004, 1.06898126743e-003, 1.55702197553e-003, 1.97391768688e-003, 2.33416844797e-003, 2.64858463388e-003, 2.92539034480e-003
