vdd	Id(Mnmos@1)
Step Information: Vin=1  (Run: 1/8)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	3.986602e-005
2.000000000000000e-001	7.369085e-005
3.000000000000000e-001	1.015062e-004
4.000000000000000e-001	1.233434e-004
5.000000000000000e-001	1.392339e-004
6.000000000000000e-001	1.492085e-004
7.000000000000000e-001	1.532982e-004
7.999999999999999e-001	1.534157e-004
8.999999999999999e-001	1.534196e-004
9.999999999999999e-001	1.534234e-004
1.100000000000000e+000	1.534273e-004
1.200000000000000e+000	1.534311e-004
1.300000000000000e+000	1.534349e-004
1.400000000000000e+000	1.534388e-004
1.500000000000000e+000	1.534426e-004
1.600000000000000e+000	1.534465e-004
1.700000000000000e+000	1.534503e-004
1.800000000000001e+000	1.534542e-004
1.900000000000001e+000	1.534580e-004
2.000000000000000e+000	1.534618e-004
2.100000000000001e+000	1.534657e-004
2.200000000000001e+000	1.534695e-004
2.300000000000001e+000	1.534734e-004
2.400000000000001e+000	1.534772e-004
2.500000000000001e+000	1.534810e-004
2.600000000000001e+000	1.534849e-004
2.700000000000001e+000	1.534887e-004
2.800000000000001e+000	1.534926e-004
2.900000000000001e+000	1.534964e-004
3.000000000000001e+000	1.535003e-004
3.100000000000001e+000	1.535041e-004
3.200000000000002e+000	1.535080e-004
3.300000000000002e+000	1.535118e-004
3.400000000000002e+000	1.535156e-004
3.500000000000002e+000	1.535195e-004
3.600000000000002e+000	1.535233e-004
3.700000000000002e+000	1.535272e-004
3.800000000000002e+000	1.535310e-004
3.900000000000002e+000	1.535349e-004
4.000000000000002e+000	1.535387e-004
4.100000000000001e+000	1.535426e-004
4.200000000000001e+000	1.535464e-004
4.300000000000001e+000	1.535503e-004
4.400000000000000e+000	1.535541e-004
4.500000000000000e+000	1.535580e-004
4.600000000000000e+000	1.535618e-004
4.699999999999999e+000	1.535656e-004
4.799999999999999e+000	1.535695e-004
4.899999999999999e+000	1.535733e-004
4.999999999999998e+000	1.535772e-004
5.099999999999998e+000	1.535810e-004
5.199999999999998e+000	1.535849e-004
5.299999999999997e+000	1.535887e-004
5.399999999999997e+000	1.535926e-004
5.499999999999996e+000	1.535964e-004
5.599999999999996e+000	1.536003e-004
5.699999999999996e+000	1.536041e-004
5.799999999999995e+000	1.536080e-004
5.899999999999995e+000	1.536118e-004
5.999999999999995e+000	1.536157e-004
6.099999999999994e+000	1.536195e-004
6.199999999999994e+000	1.536234e-004
6.299999999999994e+000	1.536272e-004
6.399999999999993e+000	1.536311e-004
6.499999999999993e+000	1.536349e-004
6.599999999999993e+000	1.536388e-004
6.699999999999992e+000	1.536426e-004
6.799999999999992e+000	1.536465e-004
6.899999999999992e+000	1.536503e-004
6.999999999999991e+000	1.536542e-004
7.099999999999991e+000	1.536580e-004
7.199999999999990e+000	1.536619e-004
7.299999999999990e+000	1.536657e-004
7.399999999999990e+000	1.536695e-004
7.499999999999989e+000	1.536734e-004
7.599999999999989e+000	1.536773e-004
7.699999999999989e+000	1.536811e-004
7.799999999999988e+000	1.536850e-004
7.899999999999988e+000	1.536888e-004
8.000000000000000e+000	1.536927e-004
