Vds,Vg=0,Vg=0.5,Vg=1,Vg=1.5,Vg=2,Vg=2.5,Vg=3,Vg=3.5,Vg=4,Vg=4.5,Vg=5,Vg=5.5,Vg=6,Vg=6.5,Vg=7,Vg=7.5,Vg=8
0.0,-0.000103057,-0.000151425,-0.000195146,-0.000223948,-0.000274386,-0.00030157999999999997,-0.000344447,-0.00037286400000000004,-0.000388076,-0.000413893,-0.000427059,-0.000360439,-0.000347184,-0.000386911,-0.000404037,-0.000417489,-0.000492227
0.1,0.047630000000000006,0.0500162,0.07325040000000001,0.0969576,0.11739200000000001,0.135413,0.151609,0.166414,0.180074,0.192746,0.20433300000000001,0.210343,0.21823,0.22398,0.22967300000000002,0.235201,0.239865
0.2,0.0950914,0.09814890000000001,0.140857,0.18896200000000002,0.230471,0.26699599999999996,0.29977299999999996,0.329679,0.357238,0.382855,0.406204,0.41896300000000003,0.435162,0.446986,0.45846899999999996,0.469563,0.478069
0.30000000000000004,0.142426,0.145683,0.202745,0.275659,0.338886,0.394397,0.444123,0.48941299999999993,0.531107,0.5698920000000001,0.605186,0.625366,0.650206,0.668423,0.685785,0.702509,0.7152970000000001
0.4,0.189834,0.19321,0.259525,0.357222,0.442909,0.517862,0.5849219999999999,0.6459210000000001,0.7020350000000001,0.754107,0.8017000000000001,0.82977,0.863806,0.887263,0.911606,0.934396,0.951529
0.5,0.237279,0.240759,0.312083,0.433484,0.5421659999999999,0.637185,0.721997,0.7990389999999999,0.8698309999999999,0.935464,0.9955529999999999,1.0324,1.0761,1.10605,1.13691,1.16551,1.1874500000000001
0.6000000000000001,0.284781,0.288341,0.36190799999999995,0.504429,0.636689,0.752327,0.855334,0.948764,1.03571,1.11543,1.18812,1.2328599999999998,1.28644,1.3235899999999998,1.36077,1.39562,1.42195
0.7000000000000001,0.332322,0.335965,0.410484,0.570173,0.726381,0.8632559999999999,0.9849019999999999,1.09645,1.1976,1.2911400000000002,1.37721,1.4308400000000001,1.4946899999999999,1.5392,1.58327,1.62445,1.6553900000000001
0.8,0.37992899999999996,0.383649,0.458664,0.6309790000000001,0.811245,0.9699249999999999,1.11212,1.23944,1.3562400000000001,1.46421,1.56361,1.62656,1.7011800000000001,1.75358,1.80495,1.8523800000000001,1.8878199999999998
0.9,0.427556,0.43134500000000003,0.5067379999999999,0.687329,0.8911359999999999,1.07355,1.23404,1.3789399999999998,1.51176,1.63445,1.74749,1.82009,1.9058,1.96679,2.0255099999999997,2.07942,2.11971
1.0,0.47521599999999997,0.479079,0.554808,0.740185,0.966104,1.17139,1.35206,1.51495,1.66419,1.8020200000000002,1.92899,2.01182,2.1088999999999998,2.1786700000000003,2.24538,2.30589,2.3507200000000004
1.1,0.522922,0.526864,0.602904,0.7907310000000001,1.03752,1.2647599999999999,1.46614,1.64754,1.81354,1.9668200000000002,2.1081,2.20113,2.31028,2.38965,2.46448,2.53274,2.58177
1.2000000000000002,0.570683,0.574705,0.651048,0.8401590000000001,1.10286,1.35359,1.57625,1.7766,1.95972,2.12893,2.28479,2.38846,2.50966,2.59937,2.68289,2.75804,2.81242
1.3,0.618498,0.622594,0.699221,0.889106,1.16367,1.43779,1.68227,1.90203,2.1027799999999996,2.28811,2.4589999999999996,2.57355,2.70748,2.80769,2.90083,2.9830099999999997,3.0429
1.4000000000000001,0.666362,0.670546,0.747455,0.93792,1.22058,1.51735,1.7840799999999999,2.02384,2.24255,2.44441,2.6306599999999998,2.75643,2.90355,3.0149600000000003,3.11738,3.20733,3.2724699999999998
1.5,0.7142850000000001,0.7185619999999999,0.795748,0.986748,1.27435,1.59226,1.88164,2.1418600000000003,2.37902,2.59773,2.7996700000000003,2.93687,3.09705,3.2225,3.33341,3.43094,3.5014
1.6,0.762296,0.766656,0.8441120000000001,1.03702,1.32609,1.6625100000000002,1.97493,2.2560000000000002,2.5120400000000003,2.74803,2.9659,3.11442,3.28849,3.43085,3.54726,3.65334,3.72897
1.7000000000000002,0.8103509999999999,0.814805,0.8925,1.08585,1.3766500000000002,1.7282899999999999,2.06376,2.36617,2.64147,2.89507,3.12928,3.28968,3.47773,3.63196,3.75994,3.87489,3.9564200000000005
