Vds,Vg=0,Vg=0.5,Vg=1,Vg=1.5,Vg=2,Vg=2.5,Vg=3,Vg=3.5,Vg=4,Vg=4.5,Vg=5,Vg=5.5,Vg=6,Vg=6.5,Vg=7,Vg=7.5,Vg=8
0.0,-0.000133008,-0.000164199,-0.000204094,-0.000237217,-0.000258586,-0.00025938700000000003,-0.000284485,-0.000274602,-0.000298221,-0.000294099,-0.00030978099999999997,-0.000307855,-0.000308956,-0.000315738,-0.000305211,-0.00032207599999999997,-0.000312905
0.1,0.008215440000000001,0.0102129,0.0330877,0.048862800000000005,0.0591538,0.0666168,0.0723465,0.0769955,0.0808354,0.0841105,0.08692820000000001,0.0893929,0.09156439999999999,0.09346890000000001,0.0951993,0.0967056,0.09808499999999999
0.2,0.0163464,0.0185583,0.06132780000000001,0.09482700000000001,0.11650300000000001,0.13209800000000002,0.144017,0.15368500000000002,0.16159,0.168365,0.174182,0.17926699999999998,0.183737,0.18767499999999998,0.191239,0.194346,0.19719599999999998
0.30000000000000004,0.0244102,0.0265991,0.0843132,0.137543,0.171705,0.19610799999999998,0.214651,0.229663,0.24189,0.252368,0.26137099999999996,0.26921,0.276123,0.282202,0.287696,0.292495,0.296897
0.4,0.0324435,0.034593900000000004,0.101919,0.17683,0.224735,0.25867799999999996,0.284341,0.305014,0.321891,0.33631,0.348689,0.359481,0.368993,0.377378,0.384909,0.391549,0.397621
0.5,0.0404428,0.0425638,0.114624,0.21240199999999998,0.275429,0.31969600000000004,0.353016,0.37975,0.401626,0.420277,0.436299,0.450276,0.462602,0.473474,0.483255,0.491889,0.499765
0.6000000000000001,0.0484116,0.0505161,0.12397999999999999,0.24401699999999998,0.323636,0.37910299999999997,0.420692,0.45398900000000003,0.481256,0.504487,0.524451,0.54189,0.557265,0.570859,0.583093,0.5939180000000001,0.603775
0.7000000000000001,0.0563537,0.058429800000000004,0.132167,0.271283,0.369177,0.43688899999999997,0.487429,0.527807,0.560871,0.589071,0.613304,0.634502,0.653215,0.669743,0.684646,0.697848,0.709893
0.8,0.0642719,0.0663214,0.14008299999999999,0.294124,0.4119,0.492927,0.553183,0.6012329999999999,0.64054,0.674083,0.702924,0.728132,0.750446,0.77016,0.787912,0.803681,0.818046
0.9,0.0721617,0.0741832,0.147908,0.312283,0.45153899999999997,0.547095,0.617829,0.674062,0.7201310000000001,0.759364,0.793085,0.822598,0.848719,0.871826,0.892648,0.911106,0.927993
