Vgs,Vd=0,Vd=0.5,Vd=1,Vd=1.5,Vd=2,Vd=2.5,Vd=3,Vd=3.5,Vd=4,Vd=4.5,Vd=5,Vd=5.5,Vd=6,Vd=6.5,Vd=7,Vd=7.5,Vd=8
2.3000000000000003,0.00015636100000000002,0.175403,0.308873,0.395254,0.42802,0.442192,0.452907,0.46656200000000003,0.475188,0.486686,0.49629899999999993,0.50603,0.51604,0.525974,0.535979,0.546034,0.556009
2.4000000000000004,0.000159622,0.181751,0.323106,0.419196,0.46346000000000004,0.476785,0.488229,0.50128,0.513401,0.523127,0.532994,0.5429350000000001,0.5525950000000001,0.563979,0.572619,0.583615,0.589226
2.5,0.000164431,0.188014,0.335405,0.442745,0.49657300000000004,0.515044,0.525523,0.53963,0.549953,0.5614250000000001,0.571611,0.580986,0.591836,0.597558,0.6125320000000001,0.621555,0.6317360000000001
2.6,0.00016540199999999999,0.194024,0.350478,0.46462499999999995,0.530511,0.551274,0.559804,0.578216,0.5892970000000001,0.599722,0.6107140000000001,0.620368,0.6306309999999999,0.640439,0.652936,0.661998,0.672058
2.7,0.000165669,0.199717,0.363021,0.485912,0.5620449999999999,0.590304,0.603697,0.6181099999999999,0.62902,0.640076,0.651212,0.661377,0.671967,0.6826570000000001,0.691036,0.702338,0.713441
2.8000000000000003,0.000168271,0.20536,0.37493699999999996,0.506424,0.593168,0.6292220000000001,0.642842,0.658786,0.670231,0.681173,0.691858,0.701473,0.712667,0.7223210000000001,0.732931,0.743307,0.755123
2.9000000000000004,0.000168271,0.210696,0.386609,0.525749,0.62291,0.669709,0.684866,0.702457,0.71207,0.715838,0.734833,0.7447760000000001,0.755668,0.765726,0.775644,0.786786,0.798276
3.0,0.00017129,0.21582700000000002,0.398168,0.545008,0.650694,0.708686,0.7280490000000001,0.744195,0.7561869999999999,0.768166,0.779054,0.7889900000000001,0.800188,0.810123,0.820467,0.831527,0.8420679999999999
3.1,0.00017224000000000002,0.221003,0.409284,0.5640419999999999,0.678353,0.7488319999999999,0.770986,0.782126,0.7962400000000001,0.813361,0.823861,0.835776,0.845788,0.855128,0.8658830000000001,0.877389,0.8870800000000001
3.2,0.00017358,0.22588799999999998,0.419956,0.58154,0.704291,0.7843019999999999,0.815987,0.8338,0.84774,0.859395,0.869766,0.880135,0.8912640000000001,0.90222,0.9117240000000001,0.9232090000000001,0.933674
3.3000000000000003,0.00017181800000000001,0.230639,0.43033,0.598516,0.7296050000000001,0.8192609999999999,0.859608,0.879915,0.8927069999999999,0.905249,0.916632,0.927732,0.939451,0.9503349999999999,0.960117,0.970347,0.980685
3.4000000000000004,0.000177642,0.234789,0.440437,0.614173,0.7539359999999999,0.854596,0.903753,0.928087,0.9400740000000001,0.952954,0.964642,0.9754079999999999,0.985882,0.998485,1.01917,1.02981,1.04076
3.5,0.000174448,0.23996099999999998,0.450332,0.630916,0.777825,0.886912,0.948072,0.976176,0.9896569999999999,1.01334,1.02581,1.0363600000000002,1.0473800000000002,1.05813,1.0604500000000001,1.07007,1.08153
